case_id,declared_salary,declared_emi,slip_salary,bank_salary_average,bank_emi_total,employer_match_score,slip_extraction_confidence,missing_document_count,missing_field_count,low_confidence_count,extraction_failure_count,consistency_category
SYN_0044,78254.05,17767.56,78254.05,78254.05,17767.56,1,0.95,0,0,0,0,CONSISTENT
SYN_0045,68753.15,10660.88,68753.15,68753.15,23572.8,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0046,87862.55,16444.93,87862.55,52717.53,32889.86,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0047,72848.07,16714.1,72848.07,72848.07,16714.1,1,0.95,0,0,0,0,CONSISTENT
SYN_0048,84255.06,22658.08,84255.06,50553.04,45316.16,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0049,78084.75,21391.01,78084.75,78084.75,21391.01,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0050,53347.75,7668.14,53347.75,53347.75,7668.14,1,0.95,0,0,0,0,CONSISTENT
SYN_0051,49342.06,17223.51,49342.06,49342.06,17223.51,1,0.39,1,1,2,1,DATA_QUALITY_ISSUE
SYN_0052,76784.68,14186.54,76784.68,76784.68,26233.89,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0053,84264.61,10198.97,84264.61,84264.61,10198.97,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0054,93256.06,30274.51,93256.06,93256.06,30274.51,1,0.95,0,0,0,0,CONSISTENT
SYN_0055,77622.5,21188.91,77622.5,77622.5,45597.71,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0056,56747.18,15778.26,56747.18,56747.18,15778.26,1,0.95,0,0,0,0,CONSISTENT
SYN_0057,92378.93,24240.99,92378.93,92378.93,24240.99,1,0.95,0,0,0,0,CONSISTENT
SYN_0058,62689.77,16575.38,62689.77,37613.86,33150.76,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0059,71319.18,11860.42,71319.18,71319.18,20684.45,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0060,63693.96,12628.88,63693.96,63693.96,12628.88,1,0.37,1,3,2,1,DATA_QUALITY_ISSUE
SYN_0061,95466.5,30171.41,95466.5,95466.5,30171.41,1,0.95,0,0,0,0,CONSISTENT
SYN_0062,92580.43,20811.93,92580.43,92580.43,20811.93,1,0.95,0,0,0,0,CONSISTENT
SYN_0063,74826.25,12712.24,74826.25,74826.25,30299.55,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0064,77858.98,26337.2,77858.98,77858.98,26337.2,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0065,106783.29,36849.09,106783.29,106783.29,36849.09,1,0.95,0,0,0,0,CONSISTENT
SYN_0066,98198.05,17324.52,98198.05,98198.05,17324.52,1,0.95,0,0,0,0,CONSISTENT
SYN_0067,73331.94,14165.66,73331.94,73331.94,14165.66,1,0.95,0,0,0,0,CONSISTENT
SYN_0068,48763.96,15168.19,48763.96,48763.96,15168.19,1,0.95,0,0,0,0,CONSISTENT
SYN_0069,57784.2,9450.08,57784.2,57784.2,9450.08,1,0.19,2,1,2,1,DATA_QUALITY_ISSUE
SYN_0070,95844.04,26416.63,95844.04,95844.04,49121.49,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0071,82725.53,26204.81,82725.53,82725.53,26204.81,1,0.95,0,0,0,0,CONSISTENT
SYN_0072,82706.79,18843.55,82706.79,82706.79,18843.55,1,0.25,1,1,2,1,DATA_QUALITY_ISSUE
SYN_0073,78484.44,14480.28,78484.44,78484.44,14480.28,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0074,77642.71,9588.52,77642.71,77642.71,9588.52,1,0.95,0,0,0,0,CONSISTENT
SYN_0075,74405.46,17534.48,74405.46,74405.46,31326.07,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0076,66980.06,7208.73,66980.06,66980.06,11082.33,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0077,61603.2,14203.28,61603.2,36961.92,28406.56,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0078,69977.74,10773.44,69977.74,69977.74,10773.44,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0079,110835.54,28746.03,110835.54,110835.54,63991.29,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0080,102651.21,23514.83,102651.21,102651.21,23514.83,1,0.2,1,3,1,1,DATA_QUALITY_ISSUE
SYN_0081,63422.71,9089.97,63422.71,34687.85,9089.97,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0082,99919.53,23711.57,99919.53,99919.53,23711.57,1,0.95,0,0,0,0,CONSISTENT
SYN_0083,56086.74,18997.49,56086.74,56086.74,18997.49,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0084,88767.93,21179.01,88767.93,88767.93,21179.01,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0085,52209.45,9867.23,52209.45,52209.45,22278.69,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0086,67736.49,8739.24,67736.49,67736.49,8739.24,1,0.95,0,0,0,0,CONSISTENT
SYN_0087,71439.12,8891.21,71439.12,71439.12,8891.21,1,0.95,0,0,0,0,CONSISTENT
SYN_0088,103080.09,22509.39,103080.09,56896.14,22509.39,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0089,99486.17,25744.38,99486.17,51095.22,25744.38,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0090,53547.88,13733.16,53547.88,53547.88,13733.16,1,0.95,0,0,0,0,CONSISTENT
SYN_0091,81074.63,11409.93,81074.63,42253.72,11409.93,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0092,88646.07,9452.14,88646.07,88646.07,19715.04,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0093,46539.35,12138.49,46539.35,46539.35,12138.49,1,0.24,1,3,1,1,DATA_QUALITY_ISSUE
SYN_0094,94208.11,28743.53,94208.11,94208.11,61841.27,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0095,61753.82,11999.68,61753.82,61753.82,11999.68,1,0.95,0,0,0,0,CONSISTENT
SYN_0096,64509.33,16421.72,64509.33,64509.33,16421.72,1,0.95,0,0,0,0,CONSISTENT
SYN_0097,57667.26,15593.42,57667.26,57667.26,15593.42,1,0.95,0,0,0,0,CONSISTENT
SYN_0098,98551.66,16278.14,98551.66,98551.66,16278.14,1,0.95,0,0,0,0,CONSISTENT
SYN_0099,59355.58,19834.38,59355.58,30375.57,19834.38,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0100,94897.08,32444.85,94897.08,63048.82,32444.85,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0101,103056.36,29155.87,103056.36,55475.95,29155.87,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0102,100320.26,24592.11,100320.26,100320.26,24592.11,1,0.95,0,0,0,0,CONSISTENT
SYN_0103,51989.02,14035.02,51989.02,31193.41,28070.04,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0104,80446.04,12835.89,80446.04,80446.04,12835.89,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0105,70110.4,13840.11,70110.4,70110.4,13840.11,1,0.95,0,0,0,0,CONSISTENT
SYN_0106,123809.78,15475.75,123809.78,123809.78,15475.75,1,0.95,0,0,0,0,CONSISTENT
SYN_0107,80880.63,21772.46,80880.63,80880.63,21772.46,1,0.95,0,0,0,0,CONSISTENT
SYN_0108,73132.12,16327.21,73132.12,38393.29,16327.21,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0109,91853.13,14070.24,91853.13,91853.13,14070.24,1,0.95,0,0,0,0,CONSISTENT
SYN_0110,107148.08,31643.4,107148.08,107148.08,31643.4,1,0.13,1,2,2,1,DATA_QUALITY_ISSUE
SYN_0111,43649.73,14051.98,43649.73,43649.73,14051.98,1,0.95,0,0,0,0,CONSISTENT
SYN_0112,101556.47,13127.88,101556.47,101556.47,13127.88,1,0.95,0,0,0,0,CONSISTENT
SYN_0113,84207.62,10549.59,84207.62,84207.62,10549.59,1,0.95,0,0,0,0,CONSISTENT
SYN_0114,95368.21,26249.36,95368.21,95368.21,26249.36,1,0.95,0,0,0,0,CONSISTENT
SYN_0115,83386.64,10034.51,83386.64,83386.64,10034.51,1,0.95,0,0,0,0,CONSISTENT
SYN_0116,88088.12,30536.62,88088.12,88088.12,30536.62,1,0.95,0,0,0,0,CONSISTENT
SYN_0117,92315.32,31092.92,92315.32,92315.32,31092.92,1,0.95,0,0,0,0,CONSISTENT
SYN_0118,67839.27,19561.08,67839.27,67839.27,19561.08,1,0.21,1,3,1,1,DATA_QUALITY_ISSUE
SYN_0119,59709.88,10900.82,59709.88,59709.88,10900.82,1,0.95,0,0,0,0,CONSISTENT
SYN_0120,87479.37,14295.93,87479.37,54373.73,14295.93,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0121,87779.17,26833.88,87779.17,87779.17,60220.91,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0122,86525.09,13790.08,86525.09,86525.09,26204.23,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0123,75861.19,15861.36,75861.19,56185.28,15861.36,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0124,62338.38,14898.95,62338.38,62338.38,14898.95,1,0.2,2,2,1,1,DATA_QUALITY_ISSUE
SYN_0125,76465.14,26175.98,76465.14,76465.14,26175.98,1,0.26,1,1,2,1,DATA_QUALITY_ISSUE
SYN_0126,63404.85,22125.62,63404.85,63404.85,22125.62,1,0.95,0,0,0,0,CONSISTENT
SYN_0127,96551.32,31747.39,96551.32,96551.32,78057.38,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0128,64474.5,12806.6,64474.5,64474.5,12806.6,1,0.95,0,0,0,0,CONSISTENT
SYN_0129,60191.56,15752.86,60191.56,60191.56,15752.86,1,0.95,0,0,0,0,CONSISTENT
SYN_0130,67632.55,10641.89,67632.55,67632.55,10641.89,1,0.95,0,0,0,0,CONSISTENT
SYN_0131,55115.85,11756.77,55115.85,55115.85,11756.77,1,0.95,0,0,0,0,CONSISTENT
SYN_0132,63431.92,10779.68,63431.92,63431.92,10779.68,1,0.95,0,0,0,0,CONSISTENT
SYN_0133,52281.38,6968.91,52281.38,27335.85,6968.91,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0134,85194.9,17393.37,85194.9,85194.9,17393.37,1,0.27,1,2,2,1,DATA_QUALITY_ISSUE
SYN_0135,73895.83,22363.71,73895.83,73895.83,22363.71,1,0.4,1,3,1,1,DATA_QUALITY_ISSUE
SYN_0136,70766.68,14029.31,70766.68,70766.68,14029.31,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0137,64587.81,7053.34,64587.81,38752.69,14106.68,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0138,76647.9,7926.77,76647.9,76647.9,7926.77,1,0.95,0,0,0,0,CONSISTENT
SYN_0139,80136.85,23037.56,80136.85,80136.85,23037.56,1,0.95,0,0,0,0,CONSISTENT
SYN_0140,103672.94,25533.34,103672.94,103672.94,25533.34,1,0.32,2,2,1,1,DATA_QUALITY_ISSUE
SYN_0141,58985.69,19967.41,58985.69,58985.69,19967.41,1,0.95,0,0,0,0,CONSISTENT
SYN_0142,72864.31,11451.41,72864.31,72864.31,24869.03,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0143,62581.6,16765.19,62581.6,62581.6,33870.84,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0144,70442.03,16204.55,70442.03,70442.03,16204.55,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0145,105911.22,33802.99,105911.22,63546.73,67605.98,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0146,101330.11,13527.96,101330.11,51540.02,13527.96,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0147,97335.68,14915.82,97335.68,97335.68,14915.82,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0148,88167.38,9137.33,88167.38,88167.38,9137.33,1,0.95,0,0,0,0,CONSISTENT
SYN_0149,49036.9,10266.79,49036.9,49036.9,10266.79,1,0.95,0,0,0,0,CONSISTENT
SYN_0150,96665.08,18082.54,96665.08,96665.08,18082.54,1,0.25,2,3,2,1,DATA_QUALITY_ISSUE
SYN_0151,103588.61,30985.21,103588.61,103588.61,30985.21,1,0.95,0,0,0,0,CONSISTENT
SYN_0152,78414.03,24349.35,78414.03,57295.2,24349.35,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0153,76920.62,14372.88,76920.62,76920.62,14372.88,1,0.95,0,0,0,0,CONSISTENT
SYN_0154,67779.92,16600.15,67779.92,67779.92,16600.15,1,0.95,0,0,0,0,CONSISTENT
SYN_0155,42376.76,10432.8,42376.76,42376.76,10432.8,1,0.95,0,0,0,0,CONSISTENT
SYN_0156,105482.14,28946.08,105482.14,58439.23,28946.08,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0157,89956.73,20582.91,89956.73,89956.73,50903.81,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0158,71470.22,11146.66,71470.22,71470.22,25880.21,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0159,71462.1,16949.3,71462.1,71462.1,16949.3,1,0.95,0,0,0,0,CONSISTENT
SYN_0160,73848.54,13957.22,73848.54,56735.26,13957.22,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0161,56722.66,6981.01,56722.66,56722.66,6981.01,1,0.95,0,0,0,0,CONSISTENT
SYN_0162,57595.12,15662.77,57595.12,37638.24,15662.77,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0163,77671.93,18186.7,77671.93,77671.93,18186.7,1,0.95,0,0,0,0,CONSISTENT
SYN_0164,75534.53,12012.19,75534.53,75534.53,12012.19,1,0.33,2,2,1,1,DATA_QUALITY_ISSUE
SYN_0165,88002.74,25292.34,88002.74,88002.74,25292.34,1,0.95,0,0,0,0,CONSISTENT
SYN_0166,82065.55,25998.67,82065.55,82065.55,25998.67,1,0.95,0,0,0,0,CONSISTENT
SYN_0167,61931.3,17610.25,61931.3,61931.3,17610.25,1,0.95,0,0,0,0,CONSISTENT
SYN_0168,71598.76,17254.68,71598.76,71598.76,17254.68,1,0.95,0,0,0,0,CONSISTENT
SYN_0169,76128.99,12051.53,76128.99,45677.39,24103.06,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0170,61874.87,13519.19,61874.87,61874.87,13519.19,1,0.95,0,0,0,0,CONSISTENT
SYN_0171,70528.42,17353.51,70528.42,70528.42,17353.51,1,0.95,0,0,0,0,CONSISTENT
SYN_0172,107592.63,25761.5,107592.63,107592.63,25761.5,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0173,44886.48,8275.35,44886.48,44886.48,19857.92,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0174,91011.84,14660.94,91011.84,91011.84,29296.19,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0175,65743.64,14591.96,65743.64,65743.64,14591.96,1,0.95,0,0,0,0,CONSISTENT
SYN_0176,56117.37,6844.74,56117.37,33670.42,13689.48,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0177,77609.49,25560.6,77609.49,46565.69,51121.2,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0178,88618.08,30463.95,88618.08,88618.08,30463.95,1,0.95,0,0,0,0,CONSISTENT
SYN_0179,87237.77,24392.93,87237.77,57621.51,24392.93,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0180,83501.34,25855.83,83501.34,46887.95,25855.83,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0181,61354.61,17428.5,61354.61,61354.61,17428.5,1,0.26,1,2,2,1,DATA_QUALITY_ISSUE
SYN_0182,84579.35,20748.12,84579.35,84579.35,20748.12,1,0.95,0,0,0,0,CONSISTENT
SYN_0183,116756.66,13188.35,116756.66,116756.66,13188.35,1,0.95,0,0,0,0,CONSISTENT
SYN_0184,50834.92,6791.73,50834.92,50834.92,6791.73,1,0.95,0,0,0,0,CONSISTENT
SYN_0185,65970.47,17836.81,65970.47,65970.47,17836.81,1,0.95,0,0,0,0,CONSISTENT
SYN_0186,86403.77,21506.74,86403.77,86403.77,21506.74,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0187,48446.35,16102.71,48446.35,36295.32,16102.71,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0188,59510.56,7800.31,59510.56,59510.56,7800.31,1,0.32,1,2,2,1,DATA_QUALITY_ISSUE
SYN_0189,77752.68,8710.14,77752.68,77752.68,8710.14,1,0.95,0,0,0,0,CONSISTENT
SYN_0190,80297.36,24650.1,80297.36,80297.36,24650.1,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0191,82741.87,12130.06,82741.87,82741.87,12130.06,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0192,82132.4,21226.27,82132.4,82132.4,21226.27,1,0.95,0,0,0,0,CONSISTENT
SYN_0193,87303.69,23637.08,87303.69,87303.69,23637.08,1,0.24,2,2,2,1,DATA_QUALITY_ISSUE
SYN_0194,49390.84,8660.41,49390.84,35772.94,8660.41,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0195,79903.91,15658.99,79903.91,52981.55,15658.99,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0196,71713.49,18362.92,71713.49,71713.49,18362.92,1,0.14,2,3,1,1,DATA_QUALITY_ISSUE
SYN_0197,61771.82,19745.81,61771.82,61771.82,19745.81,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0198,82689.07,23596.59,82689.07,55562.53,23596.59,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0199,87422.3,25758.37,87422.3,87422.3,25758.37,1,0.14,2,2,2,1,DATA_QUALITY_ISSUE
SYN_0200,90148.42,28774.6,90148.42,90148.42,28774.6,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0201,94304.62,12964.94,94304.62,94304.62,12964.94,1,0.95,0,0,0,0,CONSISTENT
SYN_0202,68330.44,19171.0,68330.44,68330.44,19171.0,1,0.95,0,0,0,0,CONSISTENT
SYN_0203,95788.55,22575.55,95788.55,95788.55,22575.55,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0204,90129.04,16802.22,90129.04,90129.04,16802.22,1,0.95,0,0,0,0,CONSISTENT
SYN_0205,77558.91,15528.29,77558.91,77558.91,15528.29,1,0.95,0,0,0,0,CONSISTENT
SYN_0206,87533.48,29483.1,87533.48,47793.75,29483.1,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0207,111686.28,11674.29,111686.28,111686.28,27692.86,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0208,76938.32,18563.93,76938.32,76938.32,18563.93,1,0.31,2,1,2,1,DATA_QUALITY_ISSUE
SYN_0209,65960.28,7732.55,65960.28,65960.28,12196.71,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0210,94527.74,29313.99,94527.74,94527.74,29313.99,1,0.95,0,0,0,0,CONSISTENT
SYN_0211,70060.89,9905.22,70060.89,70060.89,9905.22,1,0.16,1,1,1,1,DATA_QUALITY_ISSUE
SYN_0212,67945.78,15607.79,67945.78,40767.47,31215.58,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0213,66178.7,12163.6,66178.7,66178.7,28010.99,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0214,72998.99,13386.17,72998.99,72998.99,13386.17,1,0.95,0,0,0,0,CONSISTENT
SYN_0215,87347.56,16297.88,87347.56,87347.56,16297.88,1,0.95,0,0,0,0,CONSISTENT
SYN_0216,76099.77,21640.9,76099.77,76099.77,21640.9,1,0.95,0,0,0,0,CONSISTENT
SYN_0217,71106.13,9614.56,71106.13,39315.72,9614.56,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0218,52452.86,10738.75,52452.86,40622.32,10738.75,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0219,102734.34,10609.75,102734.34,102734.34,10609.75,1,0.95,0,0,0,0,CONSISTENT
SYN_0220,91898.48,13280.16,91898.48,91898.48,32683.41,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0221,63013.34,22005.43,63013.34,63013.34,22005.43,1,0.95,0,0,0,0,CONSISTENT
SYN_0222,72531.97,18049.31,72531.97,37725.54,18049.31,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0223,77971.27,11795.88,77971.27,77971.27,11795.88,0,0.95,0,0,0,0,EMPLOYMENT_MISMATCH
SYN_0224,72834.59,7948.98,72834.59,72834.59,7948.98,1,0.95,0,0,0,0,CONSISTENT
SYN_0225,64307.31,18898.75,64307.31,40898.59,18898.75,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0226,76596.45,16099.86,76596.45,47507.33,16099.86,1,0.95,0,0,0,0,SALARY_MISMATCH
SYN_0227,69859.69,22036.99,69859.69,69859.69,53905.02,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0228,69428.39,11642.18,69428.39,69428.39,11642.18,1,0.95,0,0,0,0,CONSISTENT
SYN_0229,69571.64,9673.11,69571.64,69571.64,21435.34,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0230,73956.15,7896.59,73956.15,73956.15,13597.71,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0231,76481.19,11061.95,76481.19,76481.19,11061.95,1,0.95,0,0,0,0,CONSISTENT
SYN_0232,73044.82,11653.99,73044.82,73044.82,18639.87,1,0.95,0,0,0,0,EMI_MISMATCH
SYN_0233,85664.4,26346.51,85664.4,85664.4,26346.51,1,0.95,0,0,0,0,CONSISTENT
SYN_0234,81663.95,21806.01,81663.95,81663.95,21806.01,1,0.95,0,0,0,0,CONSISTENT
SYN_0235,83896.52,8662.36,83896.52,83896.52,8662.36,1,0.95,0,0,0,0,CONSISTENT
SYN_0236,70356.8,10692.23,70356.8,70356.8,10692.23,1,0.95,0,0,0,0,CONSISTENT
SYN_0237,79892.0,16406.31,79892.0,79892.0,16406.31,1,0.95,0,0,0,0,CONSISTENT
SYN_0238,56233.3,17115.22,56233.3,33739.98,34230.44,1,0.95,0,0,0,0,MULTIPLE_MISMATCH
SYN_0239,64434.84,15952.37,64434.84,64434.84,15952.37,1,0.95,0,0,0,0,CONSISTENT
SYN_0240,53873.08,13793.51,53873.08,53873.08,13793.51,1,0.95,0,0,0,0,CONSISTENT
SYN_0241,43771.06,7599.38,43771.06,34339.97,7599.38,1,0.95,0,0,0,0,SALARY_MISMATCH
